go_id	go_term_name	go_namespace	ontology
GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	biological_process	BP
GO:0006621	protein retention in ER lumen	biological_process	BP
GO:0006623	protein targeting to vacuole	biological_process	BP
GO:0006626	protein targeting to mitochondrion	biological_process	BP
GO:0006627	protein processing involved in protein targeting to mitochondrion	biological_process	BP
GO:0006629	lipid metabolic process	biological_process	BP
GO:0006631	fatty acid metabolic process	biological_process	BP
GO:0006633	fatty acid biosynthetic process	biological_process	BP
GO:0006635	fatty acid beta-oxidation	biological_process	BP
GO:0006637	acyl-CoA metabolic process	biological_process	BP
GO:0006644	phospholipid metabolic process	biological_process	BP
GO:0006646	phosphatidylethanolamine biosynthetic process	biological_process	BP
GO:0006650	glycerophospholipid metabolic process	biological_process	BP
GO:0006654	phosphatidic acid biosynthetic process	biological_process	BP
GO:0006655	phosphatidylglycerol biosynthetic process	biological_process	BP
GO:0006656	phosphatidylcholine biosynthetic process	biological_process	BP
GO:0006657	CDP-choline pathway	biological_process	BP
GO:0006659	phosphatidylserine biosynthetic process	biological_process	BP
GO:0006661	phosphatidylinositol biosynthetic process	biological_process	BP
GO:0006664	glycolipid metabolic process	biological_process	BP
GO:0006665	sphingolipid metabolic process	biological_process	BP
GO:0006672	ceramide metabolic process	biological_process	BP
GO:0006680	glucosylceramide catabolic process	biological_process	BP
GO:0006691	leukotriene metabolic process	biological_process	BP
GO:0006694	steroid biosynthetic process	biological_process	BP
GO:0006695	cholesterol biosynthetic process	biological_process	BP
GO:0006720	isoprenoid metabolic process	biological_process	BP
GO:0006721	terpenoid metabolic process	biological_process	BP
GO:0006729	tetrahydrobiopterin biosynthetic process	biological_process	BP
GO:0006730	one-carbon metabolic process	biological_process	BP
GO:0006739	NADP metabolic process	biological_process	BP
GO:0006741	NADP biosynthetic process	biological_process	BP
GO:0006744	ubiquinone biosynthetic process	biological_process	BP
GO:0006749	glutathione metabolic process	biological_process	BP
GO:0006750	glutathione biosynthetic process	biological_process	BP
GO:0006751	glutathione catabolic process	biological_process	BP
GO:0006754	ATP biosynthetic process	biological_process	BP
GO:0006760	folic acid-containing compound metabolic process	biological_process	BP
GO:0006772	thiamine metabolic process	biological_process	BP
GO:0006777	Mo-molybdopterin cofactor biosynthetic process	biological_process	BP
GO:0006778	porphyrin-containing compound metabolic process	biological_process	BP
GO:0006779	porphyrin-containing compound biosynthetic process	biological_process	BP
GO:0006780	uroporphyrinogen III biosynthetic process	biological_process	BP
GO:0006782	protoporphyrinogen IX biosynthetic process	biological_process	BP
GO:0006783	heme biosynthetic process	biological_process	BP
GO:0006784	heme A biosynthetic process	biological_process	BP
GO:0006788	heme oxidation	biological_process	BP
GO:0006790	sulfur compound metabolic process	biological_process	BP
GO:0006796	phosphate-containing compound metabolic process	biological_process	BP
GO:0006801	superoxide metabolic process	biological_process	BP
GO:0006808	regulation of nitrogen utilization	biological_process	BP
GO:0006809	nitric oxide biosynthetic process	biological_process	BP
GO:0006811	monoatomic ion transport	biological_process	BP
GO:0006812	monoatomic cation transport	biological_process	BP
GO:0006813	potassium ion transport	biological_process	BP
GO:0006814	sodium ion transport	biological_process	BP
GO:0006816	calcium ion transport	biological_process	BP
GO:0006817	phosphate ion transport	biological_process	BP
GO:0006820	monoatomic anion transport	biological_process	BP
GO:0006821	chloride transport	biological_process	BP
GO:0006825	copper ion transport	biological_process	BP
GO:0006826	iron ion transport	biological_process	BP
GO:0006829	zinc ion transport	biological_process	BP
GO:0006833	water transport	biological_process	BP
GO:0006835	dicarboxylic acid transport	biological_process	BP
GO:0006839	mitochondrial transport	biological_process	BP
GO:0006850	mitochondrial pyruvate transmembrane transport	biological_process	BP
GO:0006851	mitochondrial calcium ion transmembrane transport	biological_process	BP
GO:0006857	oligopeptide transport	biological_process	BP
GO:0006862	nucleotide transport	biological_process	BP
GO:0006863	purine nucleobase transport	biological_process	BP
GO:0006865	amino acid transport	biological_process	BP
GO:0006869	lipid transport	biological_process	BP
GO:0006873	intracellular monoatomic ion homeostasis	biological_process	BP
GO:0006878	intracellular copper ion homeostasis	biological_process	BP
GO:0006879	intracellular iron ion homeostasis	biological_process	BP
GO:0006882	intracellular zinc ion homeostasis	biological_process	BP
GO:0006883	intracellular sodium ion homeostasis	biological_process	BP
GO:0006885	regulation of pH	biological_process	BP
GO:0006886	intracellular protein transport	biological_process	BP
GO:0006887	exocytosis	biological_process	BP
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	biological_process	BP
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	biological_process	BP
GO:0006891	intra-Golgi vesicle-mediated transport	biological_process	BP
GO:0006893	Golgi to plasma membrane transport	biological_process	BP
GO:0006896	Golgi to vacuole transport	biological_process	BP
GO:0006897	endocytosis	biological_process	BP
GO:0006904	vesicle docking involved in exocytosis	biological_process	BP
GO:0006906	vesicle fusion	biological_process	BP
GO:0006913	nucleocytoplasmic transport	biological_process	BP
GO:0006914	autophagy	biological_process	BP
GO:0006950	response to stress	biological_process	BP
GO:0006952	defense response	biological_process	BP
GO:0006970	response to osmotic stress	biological_process	BP
GO:0006972	hyperosmotic response	biological_process	BP
GO:0006974	DNA damage response	biological_process	BP
GO:0006979	response to oxidative stress	biological_process	BP
GO:0006986	response to unfolded protein	biological_process	BP
GO:0006995	cellular response to nitrogen starvation	biological_process	BP
GO:0006996	organelle organization	biological_process	BP
GO:0006997	nucleus organization	biological_process	BP
GO:0007005	mitochondrion organization	biological_process	BP
GO:0007010	cytoskeleton organization	biological_process	BP
GO:0007015	actin filament organization	biological_process	BP
GO:0007017	microtubule-based process	biological_process	BP
GO:0007018	microtubule-based movement	biological_process	BP
GO:0007020	microtubule nucleation	biological_process	BP
GO:0007021	tubulin complex assembly	biological_process	BP
GO:0007023	post-chaperonin tubulin folding pathway	biological_process	BP
GO:0007029	endoplasmic reticulum organization	biological_process	BP
GO:0007030	Golgi organization	biological_process	BP
GO:0007031	peroxisome organization	biological_process	BP
GO:0007032	endosome organization	biological_process	BP
GO:0007033	vacuole organization	biological_process	BP
GO:0007034	vacuolar transport	biological_process	BP
GO:0007051	spindle organization	biological_process	BP
GO:0007052	mitotic spindle organization	biological_process	BP
GO:0007059	chromosome segregation	biological_process	BP
GO:0007062	sister chromatid cohesion	biological_process	BP
GO:0007064	mitotic sister chromatid cohesion	biological_process	BP
GO:0007076	mitotic chromosome condensation	biological_process	BP
GO:0007094	mitotic spindle assembly checkpoint signaling	biological_process	BP
GO:0007095	mitotic G2 DNA damage checkpoint signaling	biological_process	BP
GO:0007096	regulation of exit from mitosis	biological_process	BP
GO:0007127	meiosis I	biological_process	BP
