KO	pathway
K10244	ko00062
K10245	ko00062
K10246	ko00062
K10247	ko00062
K10248	ko00062
K10249	ko00062
K10250	ko00062
K10251	ko00062
K10258	ko00062
K10703	ko00062
K15397	ko00062
K16339	ko00062
K17360	ko00062
K22554	ko00062
K28199	ko00062
K00001	ko00071
K00022	ko00071
K00121	ko00071
K00128	ko00071
K00149	ko00071
K00232	ko00071
K00248	ko00071
K00249	ko00071
K00252	ko00071
K00255	ko00071
K00496	ko00071
K00529	ko00071
K00530	ko00071
K00626	ko00071
K00632	ko00071
K01692	ko00071
K01782	ko00071
K01825	ko00071
K01897	ko00071
K01909	ko00071
K04072	ko00071
K05297	ko00071
K05939	ko00071
K06445	ko00071
K07422	ko00071
K07425	ko00071
K07508	ko00071
K07509	ko00071
K07511	ko00071
K07513	ko00071
K07514	ko00071
K07515	ko00071
K07516	ko00071
K07517	ko00071
K08765	ko00071
K08766	ko00071
K09478	ko00071
K09479	ko00071
K10527	ko00071
K13238	ko00071
K13239	ko00071
K13767	ko00071
K13951	ko00071
K13952	ko00071
K13953	ko00071
K13954	ko00071
K13980	ko00071
K14085	ko00071
K14338	ko00071
K15013	ko00071
K15401	ko00071
K18857	ko00071
K18880	ko00071
K19523	ko00071
K19524	ko00071
K20495	ko00071
K21738	ko00071
K22567	ko00071
K22887	ko00071
K28161	ko00071
K00635	ko00073
K13356	ko00073
K13407	ko00073
K15398	ko00073
K15400	ko00073
K15401	ko00073
K15402	ko00073
K15403	ko00073
K15404	ko00073
K15405	ko00073
K15406	ko00073
K17991	ko00073
K20495	ko00073
K20769	ko00073
K21995	ko00073
K27538	ko00073
K28138	ko00073
K28139	ko00073
K28140	ko00073
K28384	ko00073
K28799	ko00073
K00120	ko00074
K00645	ko00074
K00997	ko00074
K02362	ko00074
K03921	ko00074
K03922	ko00074
K11263	ko00074
K11533	ko00074
K11608	ko00074
K11609	ko00074
K11610	ko00074
K11611	ko00074
K12428	ko00074
K12437	ko00074
K18472	ko00074
K18851	ko00074
K26590	ko00074
K26591	ko00074
K26592	ko00074
K26593	ko00074
K26594	ko00074
K26595	ko00074
K26596	ko00074
K27070	ko00074
K27071	ko00074
K27072	ko00074
K27073	ko00074
K27074	ko00074
K27093	ko00074
K27094	ko00074
K27095	ko00074
K27306	ko00074
K27308	ko00074
K27359	ko00074
K27689	ko00074
K00213	ko00100
K00222	ko00100
K00223	ko00100
K00227	ko00100
K00511	ko00100
K00559	ko00100
K00637	ko00100
K00801	ko00100
K01052	ko00100
K01824	ko00100
K01852	ko00100
K01853	ko00100
K05917	ko00100
K07419	ko00100
K07436	ko00100
K07438	ko00100
K07748	ko00100
K07750	ko00100
K08242	ko00100
K08246	ko00100
K09827	ko00100
K09828	ko00100
K09829	ko00100
K09831	ko00100
K09832	ko00100
K12298	ko00100
K13373	ko00100
K14423	ko00100
K14424	ko00100
K14674	ko00100
K19532	ko00100
K21146	ko00100
K23485	ko00100
K23558	ko00100
K00037	ko00120
K00251	ko00120
K00488	ko00120
K00489	ko00120
K00659	ko00120
K01442	ko00120
K01796	ko00120
K07430	ko00120
K07431	ko00120
K07439	ko00120
K07440	ko00120
K08748	ko00120
K08764	ko00120
K10214	ko00120
K10223	ko00120
K11992	ko00120
K12405	ko00120
K12408	ko00120
K00076	ko00121
K01442	ko00121
K07007	ko00121
K15868	ko00121
K15869	ko00121
K15870	ko00121
K15871	ko00121
K15872	ko00121
K15873	ko00121
K15874	ko00121
K22604	ko00121
K22605	ko00121
K22606	ko00121
K22607	ko00121
K23231	ko00121
K00355	ko00130
K00457	ko00130
K00487	ko00130
K00568	ko00130
K00591	ko00130
K00815	ko00130
K00838	ko00130
K01075	ko00130
K01661	ko00130
K01851	ko00130
K01904	ko00130
K01911	ko00130
K02361	ko00130
K02548	ko00130
K02549	ko00130
K02551	ko00130
K02552	ko00130
K03179	ko00130
K03181	ko00130
K03182	ko00130
K03183	ko00130
K03184	ko00130
K03185	ko00130
K03186	ko00130
K03809	ko00130
K05357	ko00130
K05928	ko00130
K06125	ko00130
K06126	ko00130
K06127	ko00130
K06134	ko00130
K08680	ko00130
K09833	ko00130
K09834	ko00130
K10106	ko00130
K11782	ko00130
K11783	ko00130
K11784	ko00130
K11785	ko00130
K12073	ko00130
K12501	ko00130
K12502	ko00130
K13565	ko00130
K14759	ko00130
K14760	ko00130
K17872	ko00130
K18240	ko00130
K18284	ko00130
K18285	ko00130
K18286	ko00130
K18534	ko00130
K18586	ko00130
K18606	ko00130
K18800	ko00130
K19222	ko00130
K19267	ko00130
K20810	ko00130
K23094	ko00130
K23095	ko00130
K24441	ko00130
K24843	ko00130
K24844	ko00130
K24845	ko00130
K28034	ko00130
K00037	ko00140
K00038	ko00140
K00044	ko00140
K00061	ko00140
K00070	ko00140
K00071	ko00140
K00089	ko00140
K00212	ko00140
K00251	ko00140
K00489	ko00140
K00497	ko00140
K00498	ko00140
K00512	ko00140
K00513	ko00140
K00545	ko00140
K00699	ko00140
K01015	ko00140
K01016	ko00140
K01131	ko00140
K04119	ko00140
K05295	ko00140
K07408	ko00140
K07409	ko00140
K07410	ko00140
K07412	ko00140
K07413	ko00140
K07414	ko00140
K07415	ko00140
K07424	ko00140
K07430	ko00140
K07433	ko00140
K07434	ko00140
K10207	ko00140
K10251	ko00140
K11149	ko00140
K12343	ko00140
K12344	ko00140
K12345	ko00140
K13368	ko00140
K13369	ko00140
K13370	ko00140
K13373	ko00140
K15680	ko00140
K17689	ko00140
K17690	ko00140
K17691	ko00140
K22970	ko00140
K25779	ko00140
K00233	ko00190
K00234	ko00190
K00235	ko00190
K00236	ko00190
K00237	ko00190
K00239	ko00190
K00240	ko00190
K00241	ko00190
K00242	ko00190
K00244	ko00190
K00245	ko00190
K00246	ko00190
K00247	ko00190
K00330	ko00190
K00331	ko00190
K00332	ko00190
K00333	ko00190
K00334	ko00190
K00335	ko00190
K00336	ko00190
K00337	ko00190
K00338	ko00190
K00339	ko00190
K00340	ko00190
K00341	ko00190
K00342	ko00190
K00343	ko00190
K00404	ko00190
K00405	ko00190
K00406	ko00190
K00407	ko00190
K00410	ko00190
K00411	ko00190
K00412	ko00190
K00413	ko00190
K00414	ko00190
K00415	ko00190
K00416	ko00190
K00417	ko00190
K00418	ko00190
K00419	ko00190
K00420	ko00190
K00424	ko00190
K00425	ko00190
K00426	ko00190
K00937	ko00190
K01507	ko00190
K01535	ko00190
K01542	ko00190
K01543	ko00190
K01544	ko00190
K01549	ko00190
K02107	ko00190
K02108	ko00190
K02109	ko00190
K02110	ko00190
K02111	ko00190
K02112	ko00190
K02113	ko00190
K02114	ko00190
K02115	ko00190
K02117	ko00190
K02118	ko00190
K02119	ko00190
K02120	ko00190
K02121	ko00190
K02122	ko00190
K02123	ko00190
K02124	ko00190
K02125	ko00190
K02126	ko00190
K02127	ko00190
K02128	ko00190
K02129	ko00190
K02130	ko00190
K02131	ko00190
K02132	ko00190
K02133	ko00190
K02134	ko00190
K02135	ko00190
K02136	ko00190
K02137	ko00190
K02138	ko00190
K02139	ko00190
K02140	ko00190
K02141	ko00190
K02142	ko00190
K02143	ko00190
K02144	ko00190
K02145	ko00190
K02146	ko00190
K02147	ko00190
K02148	ko00190
K02149	ko00190
K02150	ko00190
K02151	ko00190
K02152	ko00190
K02153	ko00190
K02154	ko00190
K02155	ko00190
K02256	ko00190
K02257	ko00190
K02258	ko00190
K02259	ko00190
K02260	ko00190
K02261	ko00190
K02262	ko00190
K02263	ko00190
K02264	ko00190
K02265	ko00190
K02266	ko00190
K02267	ko00190
K02268	ko00190
K02269	ko00190
K02270	ko00190
K02271	ko00190
K02272	ko00190
K02273	ko00190
K02274	ko00190
K02275	ko00190
K02276	ko00190
K02277	ko00190
K02297	ko00190
K02298	ko00190
K02299	ko00190
K02300	ko00190
K02826	ko00190
K02827	ko00190
K02828	ko00190
K02829	ko00190
K03661	ko00190
K03662	ko00190
K03878	ko00190
K03879	ko00190
K03880	ko00190
K03881	ko00190
K03882	ko00190
K03883	ko00190
K03884	ko00190
K03885	ko00190
K03886	ko00190
K03887	ko00190
K03888	ko00190
K03889	ko00190
K03890	ko00190
K03891	ko00190
K03934	ko00190
K03935	ko00190
K03936	ko00190
K03937	ko00190
K03938	ko00190
K03939	ko00190
K03940	ko00190
K03941	ko00190
K03942	ko00190
K03943	ko00190
K03944	ko00190
K03945	ko00190
K03946	ko00190
K03947	ko00190
K03948	ko00190
K03949	ko00190
K03950	ko00190
K03951	ko00190
K03952	ko00190
K03953	ko00190
K03954	ko00190
K03955	ko00190
K03956	ko00190
K03957	ko00190
K03958	ko00190
K03959	ko00190
K03960	ko00190
K03961	ko00190
K03962	ko00190
K03963	ko00190
K03964	ko00190
K03965	ko00190
K03966	ko00190
K03967	ko00190
K03968	ko00190
K05572	ko00190
K05573	ko00190
K05574	ko00190
K05575	ko00190
K05576	ko00190
K05577	ko00190
K05578	ko00190
K05579	ko00190
K05580	ko00190
K05581	ko00190
K05582	ko00190
K05583	ko00190
K05584	ko00190
K05585	ko00190
K05586	ko00190
K05587	ko00190
K05588	ko00190
K06019	ko00190
K08738	ko00190
K11351	ko00190
K11352	ko00190
K11353	ko00190
K11725	ko00190
K11726	ko00190
K13378	ko00190
K13380	ko00190
K15408	ko00190
K15862	ko00190
K15863	ko00190
K15986	ko00190
K18859	ko00190
K18860	ko00190
K22468	ko00190
K22501	ko00190
K24007	ko00190
K24008	ko00190
K24009	ko00190
K24010	ko00190
K24011	ko00190
K25801	ko00190
K25995	ko00190
K25996	ko00190
K27109	ko00190
K02108	ko00195
K02109	ko00195
K02110	ko00195
K02111	ko00195
K02112	ko00195
K02113	ko00195
K02114	ko00195
K02115	ko00195
K02634	ko00195
K02635	ko00195
K02636	ko00195
K02637	ko00195
K02638	ko00195
K02639	ko00195
K02640	ko00195
K02641	ko00195
K02642	ko00195
K02643	ko00195
K02689	ko00195
K02690	ko00195
K02691	ko00195
K02692	ko00195
K02693	ko00195
K02694	ko00195
K02695	ko00195
K02696	ko00195
K02697	ko00195
K02698	ko00195
K02699	ko00195
K02700	ko00195
K02701	ko00195
K02702	ko00195
K02703	ko00195
K02704	ko00195
K02705	ko00195
K02706	ko00195
